micros,flip,phase,spf_roll,roll_rlv,roll,spf_r_rate,gxrs,error_roll,error_r_rate,m1,m2,m3,m4
1772,0,0,0.00,0.00,-0.16,0.00,0.06,-0.65,0.13,1017.00,1017.00,1017.00,1017.00
1794,0,0,0.00,0.00,-0.16,0.00,-0.13,-0.65,0.13,1017.00,1017.00,1017.00,1017.00
1858,0,0,0.00,0.00,-0.16,0.00,0.06,-0.65,-0.06,1017.00,1017.00,1017.00017.00,1017.00
1874,0,0,0.00,0.00,-0.16,0.00,-0.06,-0.65,0.00,1017.00,1017.00,1017.00,1017.00
1943,0,0,0.00,0.00,-0.16,0.00,0.06,-0.72,0.00,1017.00,1017.00,1,1017.00
1962,0,0,0.00,0.00,-0.16,0.00,0.19,-0.72,-0.13,1017.00,1017.00,1017.00,1017.00
2071,0,0,0.00,0.00,-0.16,0.00,-0.31,-0.65,0.06,1017,1017.00,1017.00,1017.00
2091,0,0,0.00,0.00,-0.16,0.00,-0.19,-0.72,-0.19,1017.00,1017.00,1017.00,1017.00
2107,0,0,0.00,0.00,-0.16,0.00,0.06,-0.65,0.00,1017.00,1017.00,1017.00,1017.00
2256,0,0,0.00,0.00,-0.16,0.00,0.00,-0.65,-0.06,1017.00,1017.0017.00,1017.00,1017.00
2273,0,0,0.00,0.00,-0.16,0.00,0.00,-0.65,0.13,1017.00,1017.00,1017.00,1017.00
2369,0,0,0.00,0.00,-0.16,0.00,0.06,-0.65,0.06,1017.00,1017.00,1017.00,1017.00
2463,0,0,0.00,0.00,-0.16,0.00,0.19,-0.65,0.13,1017.00,1017.00,1017.00,1017.00
2562,0,0,0.00,0.00,-0.16,0.00,-0.13,-0.72,0.25,1017.00,1017.00,1017.00,1017.00
2588,0,0,0.00,0.00,-0.16,0.00,0.06,-0.72,0.13,1017.00,1017.00,1017.00,1017.00
2667,0,0,0.00,0.00,-0.16,0.00,0.00,-0.65,0.00,1017.00,1017.00,1017.00,1017.00
2751,0,0,0.00,0.00,-0.16,0.00,0.13,-0.65,0.13,1017.00,1017.00,1017.00,1017.00
2850,0,0,0.00,0.00,-0.16,0.00,0.00,-0.65,-0.13,1017.00,1017.00,1017.00,1017.00
2970,0,0,0.00,0.00,-0.16,0.00,-0.13,-0.72,0.00,1017.00,1017.00,1017.00,1017.00
3171,0,0,0.00,0.00,-0.16,0.00,0.00,-0.72,-0.06,1017.00,1017.00,1017.00,1017.00
3319,0,0,0.00,0.00,-0.16,0.00,-0.06,-0.65,0.19,1017.00,1017.00,1017.00,1017.00
3518,0,0,0.00,0.00,-0.16,0.00,0.13,-0.72,-0.13,1017.00,1017.00,1017.00,1017.00
3731,0,0,0.00,0.00,-0.16,0.00,0.13,-0.72,0.19,1017.00,1017.00,1017.00,1017.00
3890,0,0,0.00,0.00,-0.16,0.00,0.06,-0.72,-0.13,1017.00,1017.00,1017.00,1017.00
3935,0,0,0.00,0.00,-0.16,0.00,-0.06,-0.65,-0.13,1017.00,1017.00,1017.00,1017.00
4091,0,0,0.00,0.00,-0.16,0.00,0.00,-0.65,-0.25,1017.00,1017.00,1017.00,1017.00
4213,0,0,0.00,0.00,-0.18,0.00,-0.81,-0.73,-0.19,1042.00,0,1042.00,1042.00
4322,0,0,0.00,0.00,-0.25,0.00,-0.44,-0.74,-0.88,1045.00,1045.00,1045.00,1045.00
4467,0,0,0.00,0.00,-0.23,0.00,0.56,-0.73,0.81,1082.00,1082.00,1082.00,1082.00
4665,0,0,0.00,0.00,-0.06,0.00,0.25,-0.55,1.06,1094.00,1094.00,1094.00,1094.00
4799,0,0,0.00,0.00,-0.07,0.00,-0.25,-0.56,-0.19,1121.00,1121.00,1121.00,11
4819,0,0,0.00,0.00,-0.09,0.00,-0.69,-0.57,-0.50,1121.00,1121.00,1121.00,1121.00
4863,0,0,0.00,0.00,-0.09,0.00,-0.50,-0.58,-0.56,1123.00,1123.00,1123.00,1123.00
5011,0,0,0.00,0.00,-0.09,0.00,0.19,-0.58,0.56,1158.00,1158.00,1158.00,1158.00
5146,0,0,0.00,0.00,0.14,0.00,2.19,-0.41,2.06,1213.00,1213.00,1213.00,1213.00
5477,0,0,0.00,0.00,0.29,0.00,2.56,-0.33,0.44,1264.00,1264.00,1264.00,1264.00
5629,0,0,0.00,0.00,0.26,0.00,-0.56,-0.23,0.75,1279.00,1279.00,1279.00,1279.00
5808,0,0,0.00,0.00,0.42,0.00,0.81,-0.09,0.44,1289.00,1289.00,1289.00,1289.00
5940,0,0,0.00,0.00,0.48,0.00,0.88,-0.10,-1.50,1295.00,1295.00,1295.00,1295.00
6077,0,0,0.00,0.00,0.44,0.00,0.44,-0.13,-0.44,1303.00,1303.00,1303.00,1303.00
6263,0,0,0.00,0.00,0.57,0.00,2.12,0.05,1.75,1312.00,1312.00,1312.00,1312.00
6405,0,0,0.00,0.00,0.51,0.00,0.00,0.02,0.50,1315.00,1315.00,1315.00,1315.00
6550,0,0,0.00,0.00,0.37,0.00,-0.50,-0.12,-1.44,1319.00,1319.00,1319.00,1319.00
6702,0,0,0.00,0.00,0.33,0.00,-0.06,-0.15,-0.19,1325.00,1325.00,13,1325.00
6724,0,0,0.00,0.00,0.35,0.00,0.88,-0.17,0.13,1326.00,1326.00,1326.00,1326.00
6852,0,0,0.00,0.00,0.39,0.00,0.06,-0.11,0.19,1330.00,1330.00,1330.00,1330.00
6997,0,0,0.00,0.00,0.35,0.00,0.62,-0.14,0.00,1332.00,1332.00,1332.00,1332.00
7186,0,0,0.00,0.00,0.18,0.00,-0.06,-0.37,-0.25,1334.00,1334.00,1334.00,1334.00
7353,0,0,0.00,0.00,0.12,0.00,-0.56,-0.35,0.56,1334.00,1334.00,1334.00,1334.00
7396,0,0,0.00,0.00,0.08,0.00,-1.00,-0.38,-0.31,1334.00,1334.00,1334.00,1334.00
7538,0,0,0.00,0.00,0.05,0.00,0.00,-0.44,-0.13,1334.00,1334.00,1334.00,1334.00
7771,0,0,0.00,0.00,0.07,0.000.00,0.94,-0.42,1.56,1334.00,1334.00,1334.00,1334.00
7808,0,0,0.00,0.00,0.10,0.00,0.37,-0.46,0.56,1334.00,1334.00,1334.00,1334.00
7854,0,0,0.00,0.00,0.09,0.00,-0.13,-0.40,-0.25,1334.00,1334.00,1334.00,1334.00
7873,0,0,0.00,0.00,0.09,0.00,0.44,-0.40,0.13,1334.00,1334.00,1334.00,1334.00
7993,0,0,0.00,0.00,0.11,0.00,-0.81,-0.36,-0.44,1336.00,1336.00,1336.00,1336.00
8269,0,0,0.00,0.00,0.24,0.00,0.81,-0.26,1.81,1355.00,1355.00,1355.00,1355.00
8307,0,0,0.00,0.00,0.30,0.00,0.81,-0.21,1.12,1358.00,1358.00,1358.00,1358.00
8450,0,0,0.00,0.00,0.39,0.00,1.19,-0.12,1.56,1366.00,1366.00,1366.00,1366.00
8583,0,0,0.00,0.00,0.48,0.00,2.75,-0.04,1.75,1372.00,1372.00,1372.00,1372.00
8833,0,0,0.00,0.00,0.62,0.00,1.44,0.12,-0.69,1376.00,1376.00,1376.00,1376.00
8961,0,0,0.00,0.00,0.68,0.00,0.88,0.18,1.25,1376.00,1376.00,1376.00,1376.00
9002,0,0,0.00,0.00,0.81,0.00,3.12,0.25,3.19,1377.00,1375.00,1375.00,1377.00
9140,0,0,0.00,0.00,0.94,0.00,0.94,-34.09,0.62,1358.00,1394.00,1394.00,1358.00
9251,0,0,0.00,0.00,1.65,0.00,11.81,-33,11.81,1362.00,1390.00,1390.00,1362.00
9306,0,0,0.00,0.00,2.56,0.00,16.81,-24.65,15.69,1369.00,1383.00,1383.00,1369.00
9468,0,0,0.00,0.00,3.50,0.00,-13.25,2.85,-8.94,1376.00,1378.00,1300,1374.00
9491,0,0,0.00,0.00,3.00,0.00,-18.25,2.64,-15.69,1372.00,1380.00,1380.00,1372.00
9623,0,0,0.00,0.00,0.02,0.00,-26.94,-0.35,-28.31,1365.00,.00,1386.00,1366.00
